Time (min),Temperature (°C),Heat Flow (W/g)
1.38,37.96,-0.1737146912
1.38,37.97,-0.1737311707
1.38,37.99,-0.1737478790
1.39,38.01,-0.1737632751
1.39,38.02,-0.1737789459
1.39,38.04,-0.1737953186
1.39,38.06,-0.1738115997
1.39,38.07,-0.1738281250
1.39,38.09,-0.1738451691
1.4,38.11,-0.1738634796
1.4,38.12,-0.1738816833
1.4,38.14,-0.1738995972
1.4,38.16,-0.1739171906
1.4,38.17,-0.1739339447
1.41,38.19,-0.1739499054
1.41,38.21,-0.1739657440
1.41,38.22,-0.1739812927
1.41,38.24,-0.1739975128
1.41,38.26,-0.1740131531
1.41,38.27,-0.1740296021
1.42,38.29,-0.1740455780
1.42,38.31,-0.1740612488
1.42,38.32,-0.1740780029
1.42,38.34,-0.1740942993
1.42,38.36,-0.1741109314
1.42,38.37,-0.1741266479
1.43,38.39,-0.1741418304
1.43,38.41,-0.1741563568
1.43,38.42,-0.1741714325
1.43,38.44,-0.1741864166
1.43,38.46,-0.1742020416
1.43,38.47,-0.1742174072
1.43,38.49,-0.1742331848
1.44,38.51,-0.1742488403
1.44,38.52,-0.1742645721
1.44,38.54,-0.1742798157
