Temperaturee (°C),Heat flow (W/g)
86.2686,-0.250343
86.2849,-0.250335
86.3016,-0.250334
86.3186,-0.250334
86.335,-0.250335
86.3514,-0.250335
86.3679,-0.250334
86.3851,-0.250328
86.4013,-0.250321
86.4184,-0.250315
86.4349,-0.250312
86.4516,-0.250317
86.4677,-0.250317
86.4842,-0.250322
86.5015,-0.250329
86.5185,-0.250332
86.5347,-0.250335
86.5512,-0.250331
86.5684,-0.250325
86.5849,-0.250319
86.601,-0.250308
86.6171,-0.250304
86.6345,-0.250298
86.6514,-0.250286
86.6681,-0.250286
86.6844,-0.250286
86.7017,-0.250279
86.7186,-0.250276
86.7349,-0.25027
86.7511,-0.250265
86.7686,-0.250254
86.7846,-0.25024
86.8009,-0.25023
86.8178,-0.250227
86.8349,-0.250224
86.8506,-0.250217
86.8684,-0.250214
86.8844,-0.25021
86.9016,-0.250213
86.9178,-0.250216
86.9341,-0.250225
86.9524,-0.250234
86.9677,-0.25024
86.986,-0.250245
87.0021,-0.250247
87.0187,-0.250248
87.0355,-0.250243
87.0514,-0.250237
87.0695,-0.250225
87.0852,-0.250219
87.1022,-0.250216
87.1188,-0.250221
87.1356,-0.250226
87.1516,-0.250228
87.168,-0.250226
87.1859,-0.25022
87.2033,-0.250215
87.2186,-0.250212
87.2353,-0.250215
87.2519,-0.250225
87.2691,-0.25023
87.2854,-0.250232
87.3022,-0.250238
87.3188,-0.250241
87.3351,-0.250243
87.3522,-0.250251
87.3687,-0.250255
87.3856,-0.250256
87.4026,-0.250251
87.4193,-0.250241
87.4356,-0.250241
87.4523,-0.250239
87.4691,-0.250235
87.4858,-0.250229
87.5021,-0.250227
87.5199,-0.250229
87.5358,-0.250236
87.5527,-0.250248
87.5691,-0.250255
87.5857,-0.250259
87.6019,-0.250258
87.6193,-0.250259
87.6361,-0.250255
87.6525,-0.250256
87.6686,-0.250263
87.6864,-0.250273
87.7023,-0.250285
87.7192,-0.2503
87.7358,-0.250314
87.7536,-0.250324
87.769,-0.250329
87.7855,-0.250335
87.8018,-0.250339
87.8198,-0.250335
87.8356,-0.250334
87.8524,-0.250335
87.8697,-0.250335
87.8858,-0.250338
87.902,-0.250341
87.9187,-0.250346
87.9359,-0.250348
87.9525,-0.250349
87.9697,-0.250347
87.9858,-0.250345
88.0022,-0.250341
88.0188,-0.250342
88.0358,-0.250341
88.052,-0.250338
88.0691,-0.250338
88.0854,-0.250332
88.1024,-0.250334
88.1187,-0.250334
88.1359,-0.250324
88.1527,-0.250319
88.1686,-0.250317
88.1865,-0.250321
88.203,-0.250326
88.2188,-0.250327
88.2358,-0.250327
88.2526,-0.250327
88.2688,-0.25033
88.2859,-0.250332
88.3024,-0.250335
88.3188,-0.250336
88.3358,-0.250334
88.353,-0.250334
88.369,-0.25033
88.3867,-0.250328
88.4033,-0.250325
88.4195,-0.250323
88.4362,-0.25032
88.4517,-0.250313
88.47,-0.250299
88.4868,-0.25028
88.5033,-0.250271
88.5194,-0.250262
88.5353,-0.250251
88.5524,-0.250238
88.5698,-0.250235
88.5862,-0.250233
88.6026,-0.250232
88.6187,-0.250244
88.6363,-0.250255
88.6529,-0.250265
88.669,-0.250264
88.6856,-0.250269
88.7031,-0.250269
88.7192,-0.250269
88.7365,-0.250271
88.7528,-0.250267
88.7688,-0.250268
88.7862,-0.250271
88.8032,-0.250285
88.8192,-0.250302
88.8357,-0.25032
88.8534,-0.250325
88.869,-0.250338
88.8859,-0.250338
88.9039,-0.250336
88.9199,-0.250324
88.9362,-0.250309
88.9533,-0.250297
88.9692,-0.250282
88.986,-0.250267
89.0027,-0.250263
89.0194,-0.250266
89.0361,-0.250264
89.0524,-0.250261
89.0693,-0.250255
89.0858,-0.250257
89.1039,-0.250255
89.1189,-0.250252
89.1361,-0.250242
89.1521,-0.250237
89.1694,-0.250231
89.186,-0.25022
89.203,-0.250217
89.2182,-0.250217
89.2361,-0.250212
89.253,-0.250209
89.2692,-0.250208
89.2861,-0.250209
89.3027,-0.250207
89.3191,-0.250201
89.3361,-0.250195
89.3519,-0.250194
89.3695,-0.250197
89.3857,-0.250203
89.4028,-0.250212
89.4194,-0.250226
89.4361,-0.250246
89.453,-0.250261
89.4693,-0.250269
89.4853,-0.250267
89.5025,-0.250267
89.5195,-0.250263
89.5364,-0.250255
89.5525,-0.250257
89.5696,-0.250254
